"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"SOT8BUS","198004","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198005","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198006","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198007","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198008","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198009","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198010","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198011","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198012","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198013","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198101","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198102","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198103","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198104","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198105","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198106","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198107","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198108","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198109","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198110","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198111","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198112","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198113","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198201","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198202","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198203","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198204","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198205","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198206","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198207","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198208","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198209","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198210","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198211","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198212","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198213","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198301","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198302","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198303","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198304","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198305","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
